2000 234 2
2023-08-19_11_42_10

Epoch 580:   train/loss: 0.5523   valid/loss: 0.6709   train/acc: 0.7020   valid/acc: 0.6398
Epoch 590:   train/loss: 0.5504   valid/loss: 0.6765   train/acc: 0.6971   valid/acc: 0.6409
Epoch 600:   train/loss: 0.5494   valid/loss: 0.6745   train/acc: 0.7012   valid/acc: 0.6486
Epoch 610:   train/loss: 0.5489   valid/loss: 0.6724   train/acc: 0.7018   valid/acc: 0.6467
Epoch 620:   train/loss: 0.5479   valid/loss: 0.6723   train/acc: 0.7041   valid/acc: 0.6467
Epoch 630:   train/loss: 0.5464   valid/loss: 0.6712   train/acc: 0.7036   valid/acc: 0.6478
Epoch 640:   train/loss: 0.5466   valid/loss: 0.6701   train/acc: 0.7037   valid/acc: 0.6524
Epoch 650:   train/loss: 0.5472   valid/loss: 0.6711   train/acc: 0.7076   valid/acc: 0.6486
Epoch 660:   train/loss: 0.5471   valid/loss: 0.6695   train/acc: 0.7071   valid/acc: 0.6451
Epoch 670:   train/loss: 0.5456   valid/loss: 0.6694   train/acc: 0.7021   valid/acc: 0.6490
Epoch 680:   train/loss: 0.5451   valid/loss: 0.6685   train/acc: 0.7039   valid/acc: 0.6478
Epoch 690:   train/loss: 0.5452   valid/loss: 0.6652   train/acc: 0.7068   valid/acc: 0.6532
Epoch 700:   train/loss: 0.5443   valid/loss: 0.6687   train/acc: 0.7102   valid/acc: 0.6520
Epoch 710:   train/loss: 0.5434   valid/loss: 0.6669   train/acc: 0.7128   valid/acc: 0.6528
Epoch 720:   train/loss: 0.5434   valid/loss: 0.6654   train/acc: 0.7085   valid/acc: 0.6501
Epoch 730:   train/loss: 0.5431   valid/loss: 0.6662   train/acc: 0.7079   valid/acc: 0.6513
Epoch 740:   train/loss: 0.5425   valid/loss: 0.6682   train/acc: 0.7099   valid/acc: 0.6513
Epoch 750:   train/loss: 0.5416   valid/loss: 0.6659   train/acc: 0.7086   valid/acc: 0.6509
Epoch 760:   train/loss: 0.5421   valid/loss: 0.6640   train/acc: 0.7083   valid/acc: 0.6543
Epoch 770:   train/loss: 0.5412   valid/loss: 0.6617   train/acc: 0.7105   valid/acc: 0.6562
Epoch 780:   train/loss: 0.5413   valid/loss: 0.6636   train/acc: 0.7103   valid/acc: 0.6562
Epoch 790:   train/loss: 0.5401   valid/loss: 0.6628   train/acc: 0.7073   valid/acc: 0.6501
Epoch 800:   train/loss: 0.5408   valid/loss: 0.6648   train/acc: 0.7061   valid/acc: 0.6539
Epoch 810:   train/loss: 0.5390   valid/loss: 0.6625   train/acc: 0.7124   valid/acc: 0.6497
Epoch 820:   train/loss: 0.5381   valid/loss: 0.6622   train/acc: 0.7093   valid/acc: 0.6539
Epoch 830:   train/loss: 0.5385   valid/loss: 0.6639   train/acc: 0.7121   valid/acc: 0.6532
Epoch 840:   train/loss: 0.5377   valid/loss: 0.6594   train/acc: 0.7124   valid/acc: 0.6551
Epoch 850:   train/loss: 0.5376   valid/loss: 0.6611   train/acc: 0.7090   valid/acc: 0.6570
Epoch 860:   train/loss: 0.5363   valid/loss: 0.6586   train/acc: 0.7144   valid/acc: 0.6581
Epoch 870:   train/loss: 0.5368   valid/loss: 0.6572   train/acc: 0.7132   valid/acc: 0.6620
Epoch 880:   train/loss: 0.5355   valid/loss: 0.6568   train/acc: 0.7142   valid/acc: 0.6608
Epoch 890:   train/loss: 0.5354   valid/loss: 0.6576   train/acc: 0.7126   valid/acc: 0.6612
Epoch 900:   train/loss: 0.5353   valid/loss: 0.6610   train/acc: 0.7147   valid/acc: 0.6581
Epoch 910:   train/loss: 0.5347   valid/loss: 0.6615   train/acc: 0.7145   valid/acc: 0.6585
Epoch 920:   train/loss: 0.5335   valid/loss: 0.6610   train/acc: 0.7143   valid/acc: 0.6570
Epoch 930:   train/loss: 0.5331   valid/loss: 0.6564   train/acc: 0.7149   valid/acc: 0.6600
Epoch 940:   train/loss: 0.5331   valid/loss: 0.6554   train/acc: 0.7159   valid/acc: 0.6608
Epoch 950:   train/loss: 0.5325   valid/loss: 0.6572   train/acc: 0.7148   valid/acc: 0.6547
Epoch 960:   train/loss: 0.5318   valid/loss: 0.6585   train/acc: 0.7161   valid/acc: 0.6570
Epoch 970:   train/loss: 0.5304   valid/loss: 0.6562   train/acc: 0.7162   valid/acc: 0.6627
Epoch 980:   train/loss: 0.5312   valid/loss: 0.6580   train/acc: 0.7202   valid/acc: 0.6597
Epoch 990:   train/loss: 0.5297   valid/loss: 0.6584   train/acc: 0.7143   valid/acc: 0.6585
Epoch 1000:  train/loss: 0.5312   valid/loss: 0.6581   train/acc: 0.7183   valid/acc: 0.6612
Epoch 1010:  train/loss: 0.5302   valid/loss: 0.6608   train/acc: 0.7149   valid/acc: 0.6566
Epoch 1020:  train/loss: 0.5292   valid/loss: 0.6597   train/acc: 0.7188   valid/acc: 0.6558
Epoch 1030:  train/loss: 0.5289   valid/loss: 0.6554   train/acc: 0.7201   valid/acc: 0.6604
Epoch 1040:  train/loss: 0.5286   valid/loss: 0.6549   train/acc: 0.7194   valid/acc: 0.6627
Epoch 1050:  train/loss: 0.5279   valid/loss: 0.6555   train/acc: 0.7175   valid/acc: 0.6623
Epoch 1060:  train/loss: 0.5291   valid/loss: 0.6557   train/acc: 0.7182   valid/acc: 0.6639
Epoch 1070:  train/loss: 0.5281   valid/loss: 0.6510   train/acc: 0.7222   valid/acc: 0.6665
Epoch 1080:  train/loss: 0.5279   valid/loss: 0.6518   train/acc: 0.7210   valid/acc: 0.6631
Epoch 1090:  train/loss: 0.5264   valid/loss: 0.6526   train/acc: 0.7188   valid/acc: 0.6639
Epoch 1100:  train/loss: 0.5275   valid/loss: 0.6510   train/acc: 0.7180   valid/acc: 0.6658
Epoch 1110:  train/loss: 0.5272   valid/loss: 0.6496   train/acc: 0.7204   valid/acc: 0.6669
Epoch 1120:  train/loss: 0.5271   valid/loss: 0.6480   train/acc: 0.7226   valid/acc: 0.6673
Epoch 1130:  train/loss: 0.5264   valid/loss: 0.6470   train/acc: 0.7226   valid/acc: 0.6677
Epoch 1140:  train/loss: 0.5257   valid/loss: 0.6500   train/acc: 0.7220   valid/acc: 0.6658
Epoch 1150:  train/loss: 0.5248   valid/loss: 0.6523   train/acc: 0.7183   valid/acc: 0.6616
Epoch 1160:  train/loss: 0.5244   valid/loss: 0.6495   train/acc: 0.7234   valid/acc: 0.6654
Epoch 1170:  train/loss: 0.5252   valid/loss: 0.6484   train/acc: 0.7205   valid/acc: 0.6669
Epoch 1180:  train/loss: 0.5250   valid/loss: 0.6493   train/acc: 0.7188   valid/acc: 0.6662
Epoch 1190:  train/loss: 0.5252   valid/loss: 0.6494   train/acc: 0.7190   valid/acc: 0.6658
Epoch 1200:  train/loss: 0.5251   valid/loss: 0.6509   train/acc: 0.7219   valid/acc: 0.6639
Epoch 1210:  train/loss: 0.5238   valid/loss: 0.6500   train/acc: 0.7208   valid/acc: 0.6654
Epoch 1220:  train/loss: 0.5238   valid/loss: 0.6488   train/acc: 0.7258   valid/acc: 0.6673
Epoch 1230:  train/loss: 0.5232   valid/loss: 0.6486   train/acc: 0.7248   valid/acc: 0.6665
Epoch 1240:  train/loss: 0.5232   valid/loss: 0.6465   train/acc: 0.7200   valid/acc: 0.6646
Epoch 1250:  train/loss: 0.5229   valid/loss: 0.6463   train/acc: 0.7220   valid/acc: 0.6646
Epoch 1260:  train/loss: 0.5229   valid/loss: 0.6468   train/acc: 0.7236   valid/acc: 0.6604
Epoch 1270:  train/loss: 0.5222   valid/loss: 0.6466   train/acc: 0.7197   valid/acc: 0.6600
Epoch 1280:  train/loss: 0.5223   valid/loss: 0.6441   train/acc: 0.7226   valid/acc: 0.6597
Epoch 1290:  train/loss: 0.5217   valid/loss: 0.6440   train/acc: 0.7223   valid/acc: 0.6620
Epoch 1300:  train/loss: 0.5215   valid/loss: 0.6480   train/acc: 0.7246   valid/acc: 0.6623
Epoch 1310:  train/loss: 0.5215   valid/loss: 0.6464   train/acc: 0.7233   valid/acc: 0.6627
Epoch 1320:  train/loss: 0.5219   valid/loss: 0.6433   train/acc: 0.7192   valid/acc: 0.6654
Epoch 1330:  train/loss: 0.5204   valid/loss: 0.6437   train/acc: 0.7240   valid/acc: 0.6639
Epoch 1340:  train/loss: 0.5212   valid/loss: 0.6429   train/acc: 0.7219   valid/acc: 0.6658
Epoch 1350:  train/loss: 0.5203   valid/loss: 0.6433   train/acc: 0.7251   valid/acc: 0.6662
Epoch 1360:  train/loss: 0.5214   valid/loss: 0.6411   train/acc: 0.7262   valid/acc: 0.6654
Epoch 1370:  train/loss: 0.5196   valid/loss: 0.6427   train/acc: 0.7264   valid/acc: 0.6681
Epoch 1380:  train/loss: 0.5198   valid/loss: 0.6423   train/acc: 0.7219   valid/acc: 0.6677
Epoch 1390:  train/loss: 0.5187   valid/loss: 0.6458   train/acc: 0.7237   valid/acc: 0.6692
Epoch 1400:  train/loss: 0.5188   valid/loss: 0.6442   train/acc: 0.7225   valid/acc: 0.6700
Epoch 1410:  train/loss: 0.5182   valid/loss: 0.6452   train/acc: 0.7255   valid/acc: 0.6681
Epoch 1420:  train/loss: 0.5190   valid/loss: 0.6447   train/acc: 0.7215   valid/acc: 0.6658
Epoch 1430:  train/loss: 0.5181   valid/loss: 0.6441   train/acc: 0.7266   valid/acc: 0.6662
Epoch 1440:  train/loss: 0.5182   valid/loss: 0.6467   train/acc: 0.7269   valid/acc: 0.6692
Epoch 1450:  train/loss: 0.5179   valid/loss: 0.6434   train/acc: 0.7289   valid/acc: 0.6692
Epoch 1460:  train/loss: 0.5179   valid/loss: 0.6450   train/acc: 0.7260   valid/acc: 0.6654
Epoch 1470:  train/loss: 0.5173   valid/loss: 0.6429   train/acc: 0.7289   valid/acc: 0.6673
Epoch 1480:  train/loss: 0.5180   valid/loss: 0.6452   train/acc: 0.7281   valid/acc: 0.6665
Epoch 1490:  train/loss: 0.5163   valid/loss: 0.6435   train/acc: 0.7250   valid/acc: 0.6677
Epoch 1500:  train/loss: 0.5173   valid/loss: 0.6457   train/acc: 0.7276   valid/acc: 0.6662
Epoch 1510:  train/loss: 0.5168   valid/loss: 0.6431   train/acc: 0.7281   valid/acc: 0.6681
Epoch 1520:  train/loss: 0.5170   valid/loss: 0.6448   train/acc: 0.7270   valid/acc: 0.6654
Epoch 1530:  train/loss: 0.5166   valid/loss: 0.6436   train/acc: 0.7293   valid/acc: 0.6658
Epoch 1540:  train/loss: 0.5164   valid/loss: 0.6442   train/acc: 0.7285   valid/acc: 0.6681
Epoch 1550:  train/loss: 0.5162   valid/loss: 0.6441   train/acc: 0.7259   valid/acc: 0.6631
Epoch 1560:  train/loss: 0.5158   valid/loss: 0.6414   train/acc: 0.7275   valid/acc: 0.6650
Epoch 1570:  train/loss: 0.5156   valid/loss: 0.6423   train/acc: 0.7314   valid/acc: 0.6623
Epoch 1580:  train/loss: 0.5158   valid/loss: 0.6429   train/acc: 0.7255   valid/acc: 0.6650
Epoch 1590:  train/loss: 0.5153   valid/loss: 0.6436   train/acc: 0.7300   valid/acc: 0.6684
Epoch 1600:  train/loss: 0.5148   valid/loss: 0.6413   train/acc: 0.7292   valid/acc: 0.6669
Epoch 1610:  train/loss: 0.5149   valid/loss: 0.6398   train/acc: 0.7292   valid/acc: 0.6688
Epoch 1620:  train/loss: 0.5157   valid/loss: 0.6397   train/acc: 0.7269   valid/acc: 0.6677
Epoch 1630:  train/loss: 0.5151   valid/loss: 0.6395   train/acc: 0.7278   valid/acc: 0.6665
Epoch 1640:  train/loss: 0.5150   valid/loss: 0.6409   train/acc: 0.7275   valid/acc: 0.6669
Epoch 1650:  train/loss: 0.5151   valid/loss: 0.6404   train/acc: 0.7280   valid/acc: 0.6688
Epoch 1660:  train/loss: 0.5147   valid/loss: 0.6427   train/acc: 0.7268   valid/acc: 0.6662
Epoch 1670:  train/loss: 0.5147   valid/loss: 0.6441   train/acc: 0.7274   valid/acc: 0.6688
Epoch 1680:  train/loss: 0.5129   valid/loss: 0.6403   train/acc: 0.7261   valid/acc: 0.6654
Epoch 1690:  train/loss: 0.5141   valid/loss: 0.6436   train/acc: 0.7303   valid/acc: 0.6650
Epoch 1700:  train/loss: 0.5139   valid/loss: 0.6409   train/acc: 0.7264   valid/acc: 0.6658
Epoch 1710:  train/loss: 0.5128   valid/loss: 0.6433   train/acc: 0.7283   valid/acc: 0.6658
Epoch 1720:  train/loss: 0.5123   valid/loss: 0.6429   train/acc: 0.7326   valid/acc: 0.6681
Epoch 1730:  train/loss: 0.5130   valid/loss: 0.6422   train/acc: 0.7299   valid/acc: 0.6646
Epoch 1740:  train/loss: 0.5131   valid/loss: 0.6414   train/acc: 0.7303   valid/acc: 0.6658
Epoch 1750:  train/loss: 0.5126   valid/loss: 0.6418   train/acc: 0.7279   valid/acc: 0.6696
Epoch 1760:  train/loss: 0.5124   valid/loss: 0.6443   train/acc: 0.7290   valid/acc: 0.6642
Epoch 1770:  train/loss: 0.5120   valid/loss: 0.6420   train/acc: 0.7316   valid/acc: 0.6669
Epoch 1780:  train/loss: 0.5115   valid/loss: 0.6443   train/acc: 0.7291   valid/acc: 0.6669
Epoch 1790:  train/loss: 0.5118   valid/loss: 0.6412   train/acc: 0.7282   valid/acc: 0.6662
Epoch 1800:  train/loss: 0.5122   valid/loss: 0.6410   train/acc: 0.7313   valid/acc: 0.6677
Epoch 1810:  train/loss: 0.5117   valid/loss: 0.6390   train/acc: 0.7308   valid/acc: 0.6681
Epoch 1820:  train/loss: 0.5119   valid/loss: 0.6411   train/acc: 0.7316   valid/acc: 0.6673
Epoch 1830:  train/loss: 0.5115   valid/loss: 0.6397   train/acc: 0.7280   valid/acc: 0.6707
Epoch 1840:  train/loss: 0.5111   valid/loss: 0.6394   train/acc: 0.7279   valid/acc: 0.6700
Epoch 1850:  train/loss: 0.5106   valid/loss: 0.6379   train/acc: 0.7274   valid/acc: 0.6692
Epoch 1860:  train/loss: 0.5112   valid/loss: 0.6381   train/acc: 0.7276   valid/acc: 0.6684
Epoch 1870:  train/loss: 0.5121   valid/loss: 0.6385   train/acc: 0.7315   valid/acc: 0.6681
Epoch 1880:  train/loss: 0.5109   valid/loss: 0.6378   train/acc: 0.7277   valid/acc: 0.6677
Epoch 1890:  train/loss: 0.5106   valid/loss: 0.6389   train/acc: 0.7306   valid/acc: 0.6681
Epoch 1900:  train/loss: 0.5104   valid/loss: 0.6402   train/acc: 0.7324   valid/acc: 0.6684
Epoch 1910:  train/loss: 0.5096   valid/loss: 0.6386   train/acc: 0.7276   valid/acc: 0.6688
Epoch 1920:  train/loss: 0.5104   valid/loss: 0.6395   train/acc: 0.7297   valid/acc: 0.6681
Epoch 1930:  train/loss: 0.5086   valid/loss: 0.6415   train/acc: 0.7331   valid/acc: 0.6688
Epoch 1940:  train/loss: 0.5086   valid/loss: 0.6391   train/acc: 0.7338   valid/acc: 0.6684
Epoch 1950:  train/loss: 0.5085   valid/loss: 0.6365   train/acc: 0.7311   valid/acc: 0.6696
Epoch 1960:  train/loss: 0.5096   valid/loss: 0.6385   train/acc: 0.7332   valid/acc: 0.6707
Epoch 1970:  train/loss: 0.5088   valid/loss: 0.6380   train/acc: 0.7321   valid/acc: 0.6738
Epoch 1980:  train/loss: 0.5093   valid/loss: 0.6377   train/acc: 0.7339   valid/acc: 0.6742
Epoch 1990:  train/loss: 0.5093   valid/loss: 0.6382   train/acc: 0.7331   valid/acc: 0.6742
Epoch 2000:  train/loss: 0.5089   valid/loss: 0.6386   train/acc: 0.7338   valid/acc: 0.6757

Training completed!

Test accuracy: 0.6634969
